,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
16469,NERC,Scottish Association For Marine Science,Contracts Office,Research Grant,01/07/2018,30/06/2021,272052.0,,Scotland
16470,Innovate UK,Heriot-Watt University,,Knowledge Transfer Partnership,01/10/2018,30/09/2021,159658.0,,Scotland
16471,STFC,University of Sheffield,Physics and Astronomy,Research Grant,01/10/2016,31/03/2019,19194.0,,Yorkshire and The Humber
16472,BBSRC,University of Nottingham,Sch of Psychology,Research Grant,01/12/2018,30/11/2021,466228.0,,East Midlands
16473,BBSRC,University of Edinburgh,Edinburgh Research and Innovation,Research Grant,01/11/2018,31/03/2021,220000.0,,Scotland
16474,NERC,Cranfield University,"School of Water, Energy and Environment",Studentship,04/10/2015,04/10/2018,0.0,,East of England
16475,MRC,Cardiff University,Sch of Psychology,Research Grant,30/04/2013,30/04/2019,834366.0,,Wales
16476,EPSRC,University of Southampton,School of Chemistry,Studentship,28/09/2017,30/09/2020,0.0,,South East
16477,ESRC,University of Southampton,School of Social Sciences,Studentship,01/10/2017,30/09/2020,0.0,,South East
16478,BBSRC,Institute of Food Research,Food Innovation and Health,Research Grant,01/02/2017,31/01/2021,9243.0,,East of England
16479,EPSRC,University of Leeds,Research Student Administration,Training Grant,01/10/2018,30/09/2023,6099406.0,,Yorkshire and The Humber
16480,Innovate UK,University of Essex,,Knowledge Transfer Partnership,01/04/2015,30/11/2018,143328.0,,East of England
16481,BBSRC,University of Leeds,Sch of Molecular & Cellular Biology,Research Grant,02/01/2018,01/01/2021,431865.0,,Yorkshire and The Humber
16482,ESRC,University of Portsmouth,Cent for European and Int Studies Res,Studentship,01/10/2017,30/09/2021,0.0,,South East
16483,EPSRC,University of Oxford,Engineering Science,Studentship,01/10/2018,31/03/2022,0.0,,South East
16484,EPSRC,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,01/04/2018,30/09/2023,6295974.0,,South East
16485,EPSRC,University of Southampton,School of Physics and Astronomy,Studentship,28/09/2017,31/03/2021,0.0,,South East
16486,Innovate UK,Biointeractions Limited,,EU-Funded,01/11/2015,31/03/2019,168789.0,,South East
16487,BBSRC,Newcastle University,Inst for Cell and Molecular Biosciences,Studentship,01/10/2017,30/09/2021,0.0,,North East
16488,BBSRC,University College London,Biochemical Engineering,Training Grant,01/10/2017,30/09/2021,106212.0,,London
16489,EPSRC,University of Bristol,Computer Science,Studentship,25/09/2017,24/09/2021,0.0,,South West
16490,AHRC,Historic Royal Palaces,Kensington Palace,Research Grant,04/06/2018,03/06/2019,36110.0,,London
16491,ESRC,University of Cambridge,Judge Business School,Studentship,01/10/2018,30/09/2021,0.0,,East of England
16492,MRC,University of Bath,Biology and Biochemistry,Research Grant,17/10/2016,16/04/2019,350387.0,,South West
16493,MRC,Birkbeck College,Biological Sciences,Studentship,26/09/2016,30/09/2020,0.0,,London
16494,BBSRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2016,30/09/2020,0.0,,North West
16495,Innovate UK,RedBite Solutions Ltd,,Collaborative R&D,01/04/2018,30/09/2019,677672.0,,East of England
16496,BBSRC,University College London,Institute of Child Health,Training Grant,01/10/2015,30/09/2019,103042.0,,London
16497,BBSRC,University of Dundee,School of Life Sciences,Studentship,07/09/2015,06/09/2019,0.0,,Scotland
16498,EPSRC,Durham University,Physics,Fellowship,15/06/2018,14/06/2021,465703.0,,North East
16499,BBSRC,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,Studentship,01/10/2015,30/09/2019,0.0,,London
16500,STFC,University of Glasgow,School of Physics and Astronomy,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
16501,EPSRC,University of Exeter,Research Grant Administration,Training Grant,01/10/2016,30/09/2021,1509750.0,,South West
16502,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/09/2016,30/11/2019,202352.0,,East of England
16503,MRC,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Studentship,24/09/2018,31/03/2022,0.0,,London
16504,EPSRC,University of Birmingham,Civil Engineering,Studentship,01/10/2018,30/09/2021,0.0,,West Midlands
16505,STFC,University of Nottingham,Sch of Physics & Astronomy,Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
16506,ESRC,Birkbeck College,Politics,Studentship,01/10/2017,30/09/2020,0.0,,London
16507,AHRC,University of Bristol,School of Modern Languages,Fellowship,30/06/2016,29/12/2018,119803.0,,South West
16508,BBSRC,University of Cambridge,Genetics,Research Grant,01/05/2018,30/04/2021,522433.0,,East of England
16509,BBSRC,University of Nottingham,Sch of Biosciences,Training Grant,01/01/2017,31/12/2020,96696.0,,East Midlands
16510,ESRC,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Studentship,04/09/2017,30/09/2021,0.0,,London
16511,NERC,Lancaster University,Lancaster Environment Centre,Studentship,02/10/2017,31/03/2021,0.0,,North West
16512,BBSRC,University of Southampton,School of Biological Sciences,Studentship,01/10/2018,30/09/2022,0.0,,South East
16513,STFC,Imperial College London,Dept of Physics,Research Grant,01/10/2018,31/03/2019,39238.0,,London
16514,STFC,Imperial College London,Earth Science and Engineering,Studentship,01/10/2016,30/09/2020,0.0,,London
16515,AHRC,Lancaster University,Lancaster Inst for the Contemporary Arts,Research Grant,05/01/2015,31/10/2018,991633.0,,North West
16516,ESRC,University of Cambridge,Geography,Research Grant,01/01/2015,31/10/2018,585849.0,,East of England
16517,Innovate UK,Stopford Projects Limited,,Feasibility Studies,01/01/2018,31/03/2019,126952.0,,North West
16518,NERC,University of Cambridge,Plant Sciences,Fellowship,01/01/2014,31/12/2018,509674.0,,East of England
16519,STFC,University of Cambridge,Applied Maths and Theoretical Physics,Studentship,01/10/2017,30/09/2021,0.0,,East of England
16520,STFC,University of Cambridge,Physics,Studentship,01/10/2017,31/03/2021,0.0,,East of England
16521,BBSRC,University of Leeds,Astbury Centre,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
16522,EPSRC,NERC Centre for Ecology and Hydrology,Directors and Science Coordinators,Research Grant,01/10/2017,30/09/2019,107332.0,,South East
16523,ESRC,University of Edinburgh,Business School,Research Grant,01/12/2018,30/11/2021,332079.0,,Scotland
16524,EPSRC,University of Leicester,Finance Office,Training Grant,01/10/2018,30/09/2023,84849.0,,East Midlands
16525,MRC,University of Oxford,RDM Radcliffe Department of Medicine,Studentship,01/10/2016,30/09/2020,0.0,,South East
16526,BBSRC,Harper Adams University,Crops and Environment Sciences,Studentship,01/10/2015,30/09/2019,0.0,,West Midlands
16527,EPSRC,University of Birmingham,Chemical Engineering,Research Grant,10/08/2015,09/08/2019,724957.0,,West Midlands
16528,EPSRC,University of Strathclyde,Pure and Applied Chemistry,Studentship,01/10/2018,31/03/2022,0.0,,Scotland
16529,EPSRC,University of Nottingham,Faculty of Engineering,Fellowship,09/03/2015,08/03/2020,1237076.0,,East Midlands
16530,STFC,University of Manchester,Chemistry,Training Grant,01/09/2017,31/08/2021,79664.0,,North West
16531,EPSRC,University of Warwick,Mathematics,Research Grant,01/01/2013,30/06/2019,1551044.0,,West Midlands
16532,EPSRC,University of Leeds,Mechanical Engineering,Research Grant,01/04/2016,30/06/2019,525896.0,,Yorkshire and The Humber
16533,EPSRC,Queen's University of Belfast,Electronics Electrical Eng and Comp Sci,Research Grant,01/04/2015,30/09/2018,963928.0,,Northern Ireland
16534,NERC,Lancaster University,Lancaster Environment Centre,Research Grant,14/11/2016,13/11/2020,199465.0,,North West
16535,BBSRC,University of Reading,Sch of Biological Sciences,Studentship,01/10/2015,30/09/2019,0.0,,South East
16536,BBSRC,University of Aberdeen,Psychology,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
16537,BBSRC,University of East Anglia,Biological Sciences,Studentship,01/10/2016,30/09/2020,0.0,,East of England
16538,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2017,31/08/2018,0.0,,East Midlands
16539,AHRC,Bath Spa University,College of Liberal Arts,Fellowship,20/11/2016,19/11/2018,131113.0,,South West
16540,BBSRC,University of Sheffield,Chemical & Biological Engineering,Studentship,24/09/2018,23/09/2022,0.0,,Yorkshire and The Humber
16541,ESRC,London School of Economics & Pol Sci,Economics,Studentship,01/10/2018,30/09/2022,0.0,,London
16542,NERC,University of Reading,Meteorology,Research Grant,01/01/2015,31/07/2019,658006.0,,South East
16543,BBSRC,University of Manchester,Chemistry,Research Grant,01/12/2018,30/11/2021,509991.0,,North West
16544,EPSRC,University of Birmingham,School of Physics and Astronomy,Studentship,01/10/2016,31/03/2020,0.0,,West Midlands
16545,EPSRC,University of Bristol,Chemistry,Studentship,01/03/2018,31/08/2021,0.0,,South West
16546,ESRC,Swansea University,School of Arts and Humanities,Studentship,01/10/2018,30/09/2021,0.0,,Wales
16547,BBSRC,University of Sussex,Sch of Life Sciences,Research Grant,01/10/2017,30/09/2020,729173.0,,South East
16548,EPSRC,University of Leeds,Sch of Computing,Studentship,01/10/2018,31/03/2022,0.0,,Yorkshire and The Humber
16549,Innovate UK,University of Derby,,Knowledge Transfer Partnership,01/06/2017,31/05/2019,97965.0,,East Midlands
16550,Innovate UK,Crop Innovations,,Feasibility Studies,01/08/2017,31/01/2019,323090.0,,South West
16551,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,01/01/2018,31/12/2020,0.0,,South East
16552,MRC,University of Oxford,,Intramural,01/04/2017,31/03/2022,,473000.0,South East
16553,BBSRC,Cardiff University,School of Biosciences,Studentship,01/10/2016,30/09/2020,0.0,,Wales
16554,EPSRC,University of Bristol,Chemistry,Studentship,24/09/2018,31/03/2022,0.0,,South West
16555,MRC,Imperial College London,Dept of Medicine,Studentship,01/10/2018,31/03/2022,0.0,,London
16556,Innovate UK,Apollo Rail Ltd,,Collaborative R&D,01/05/2018,31/10/2019,338506.0,,Unknown
16557,EPSRC,University of Manchester,School of Health Sciences,Research Grant,01/03/2015,28/02/2019,1099974.0,,North West
16558,BBSRC,University of York,Chemistry,Studentship,01/10/2016,30/09/2020,0.0,,Yorkshire and The Humber
16559,STFC,University of Exeter,Physics,Research Grant,01/04/2018,31/03/2022,1793312.0,,South West
16560,Innovate UK,Aston University,,Knowledge Transfer Partnership,01/11/2018,31/10/2021,108507.0,,West Midlands
16561,EPSRC,University of Strathclyde,Inst of Photonics,Fellowship,29/06/2018,28/06/2021,476158.0,,Scotland
16562,AHRC,University of Sunderland,Arts and Design,Studentship,01/10/2017,30/09/2023,0.0,,North East
16563,STFC,STFC - Laboratories,,Intramural,03/09/2018,03/09/2020,,176411.0,South East
16564,MRC,University of Bristol,Physiology and Pharmacology,Research Grant,01/08/2016,31/07/2019,396900.0,,South West
16565,MRC,University College London,MRC Laboratory of Molecular Cell Biology,Research Grant,01/08/2018,31/07/2020,296816.0,,London
16566,Innovate UK,Avanti Communications Limited,,Collaborative R&D,01/07/2017,31/03/2019,719531.0,,London
16567,AHRC,Manchester Metropolitan University,School of Art,Studentship,18/09/2017,30/03/2021,0.0,,North West
16568,BBSRC,University of Liverpool,Institute of Ageing and Chronic Disease,Research Grant,14/03/2016,13/07/2019,348045.0,,North West
16569,AHRC,University of Oxford,Engineering Science,Research Grant,01/01/2018,31/08/2019,80606.0,,South East
16570,EPSRC,University of Birmingham,Metallurgy and Materials,Training Grant,01/10/2014,30/09/2019,695240.0,,West Midlands
16571,Innovate UK,Avalon Behaviour Ventures Limited,,Feasibility Studies,01/09/2018,31/08/2019,106006.0,,London
16572,MRC,University of Oxford,,Intramural,01/07/2016,,,615545.0,South East
16573,BBSRC,University of Manchester,School of Biological Sciences,Research Grant,04/02/2016,03/11/2019,430867.0,,North West
16574,ESRC,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Research Grant,01/12/2015,30/04/2019,445460.0,,Scotland
16575,STFC,STFC - Laboratories,,Intramural,02/04/2017,02/04/2019,,169231.0,South East
16576,NERC,University of Southampton,School of Ocean and Earth Science,Research Grant,01/12/2015,30/11/2019,361782.0,,South East
16577,ESRC,Queen's University of Belfast,"Sch of Hist, Anthrop, Philos & Politics",Studentship,01/10/2017,31/03/2021,0.0,,Northern Ireland
16578,BBSRC,University of Sheffield,Infection Immunity & Cardiovasc Disease,Studentship,01/10/2015,30/09/2019,0.0,,Yorkshire and The Humber
16579,MRC,University of York,Biology,Studentship,01/10/2016,30/09/2020,0.0,,Yorkshire and The Humber
16580,STFC,University College London,Mullard Space Science Laboratory,Studentship,01/10/2018,31/03/2022,0.0,,London
16581,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,01/07/2016,30/06/2019,293497.0,,Scotland
16582,NERC,University of Surrey,Centre for Environment & Sustainability,Research Grant,28/08/2014,31/03/2019,190920.0,,South East
16583,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Studentship,01/10/2016,31/03/2020,0.0,,East Midlands
16584,MRC,University of Leeds,School of Medicine,Research Grant,01/03/2017,31/03/2019,606548.0,,Yorkshire and The Humber
16585,EPSRC,University of Strathclyde,Electronic and Electrical Engineering,Studentship,01/02/2017,31/01/2021,0.0,,Scotland
16586,ESRC,London School of Economics & Pol Sci,Sociology,Studentship,21/09/2017,30/09/2020,0.0,,London
16587,EPSRC,University of Oxford,Materials,Studentship,01/10/2016,31/03/2020,0.0,,South East
16588,EPSRC,University of Strathclyde,Pure and Applied Chemistry,Studentship,01/10/2018,31/03/2022,0.0,,Scotland
16589,MRC,University of Cambridge,Biochemistry,Research Grant,01/05/2017,30/04/2022,2132168.0,,East of England
16590,MRC,King's College London,Randall Div of Cell and Molecular Biophy,Studentship,26/09/2016,30/09/2020,0.0,,London
16591,STFC,"Royal Holloway, University of London",Physics,Studentship,24/09/2018,30/09/2020,0.0,,South East
16592,EPSRC,University of Edinburgh,Sch of Physics and Astronomy,Studentship,01/10/2016,31/03/2020,0.0,,Scotland
16593,EPSRC,University of Edinburgh,Sch of Informatics,Studentship,01/09/2018,28/02/2022,0.0,,Scotland
16594,STFC,University of Manchester,Physics and Astronomy,Studentship,12/09/2016,31/03/2020,0.0,,North West
16595,Innovate UK,Birmingham City University,,Knowledge Transfer Partnership,01/09/2017,31/08/2019,91446.0,,West Midlands
16596,EPSRC,University of Kent,Sch of Biosciences,Studentship,15/09/2018,30/09/2021,0.0,,South East
16597,STFC,University of Manchester,Earth Atmospheric and Env Sciences,Fellowship,01/03/2015,31/12/2018,120178.0,,North West
16598,NERC,Swansea University,School of the Environment and Society,Research Grant,05/10/2017,04/10/2020,438242.0,,Wales
16599,BBSRC,John Innes Centre,Cell and Develop Biology,Fellowship,07/08/2014,06/08/2019,1124159.0,,East of England
16600,EPSRC,Lancaster University,Physics,Studentship,01/10/2017,30/09/2021,0.0,,North West
16601,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2017,30/09/2021,0.0,,South East
16602,EPSRC,University College London,Chemistry,Studentship,24/09/2018,30/09/2022,0.0,,London
16603,EPSRC,University of Bristol,Mechanical Engineering,Studentship,01/10/2015,30/09/2019,0.0,,South West
16604,NERC,University of Exeter,Biosciences,Research Grant,01/04/2017,31/03/2020,438708.0,,South West
16605,EPSRC,University of Birmingham,School of Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,West Midlands
16606,MRC,University of Leeds,Sch of Chemistry,Studentship,01/10/2017,31/03/2021,0.0,,Yorkshire and The Humber
16607,EPSRC,Imperial College London,Institute for Security Science and Tech,Research Grant,01/11/2017,31/10/2020,386129.0,,London
16608,EPSRC,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,01/10/2017,30/09/2021,320229.0,,North West
16609,EPSRC,University of Oxford,Engineering Science,Research Grant,23/07/2014,22/07/2020,6384336.0,,South East
16610,EPSRC,Imperial College London,Materials,Studentship,01/10/2016,31/03/2020,0.0,,London
16611,MRC,University of Bristol,Experimental Psychology,Research Grant,01/04/2018,30/09/2019,151616.0,,South West
16612,BBSRC,University of Cambridge,Chemistry,Studentship,01/10/2015,30/09/2019,0.0,,East of England
16613,Innovate UK,Studio Go Go  Limited,,CRD,01/10/2018,31/03/2019,27029.0,,Unknown
16614,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2015,30/09/2019,0.0,,South East
16615,BBSRC,University of Exeter,Biosciences,Research Grant,01/12/2018,30/11/2021,481677.0,,South West
16616,EPSRC,University of Oxford,Engineering Science,Studentship,01/10/2015,31/03/2019,0.0,,South East
16617,Innovate UK,University of Portsmouth,,Knowledge Transfer Partnership,01/02/2016,31/12/2018,206680.0,,South East
16618,EPSRC,University of Sheffield,Materials Science and Engineering,Research Grant,01/04/2016,31/03/2019,8770885.0,,Yorkshire and The Humber
16619,BBSRC,Oxford Brookes University,Faculty of Health and Life Sciences,Studentship,01/10/2016,30/04/2021,0.0,,South East
16620,ESRC,University of Leeds,Sociology & Social Policy,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
16621,BBSRC,University of Cambridge,Biochemistry,Research Grant,01/04/2016,31/03/2019,570733.0,,East of England
16622,EPSRC,University of St Andrews,Physics and Astronomy,Research Grant,01/02/2016,30/04/2019,397795.0,,Scotland
16623,EPSRC,University of Warwick,Chemistry,Studentship,03/10/2016,30/09/2020,0.0,,West Midlands
16624,EPSRC,University of Birmingham,School of Physics and Astronomy,Studentship,01/10/2018,30/09/2022,0.0,,West Midlands
16625,NERC,NERC British Geological Survey,Earth Hazards & Observatories,Fellowship,01/05/2013,31/10/2018,253906.0,,East Midlands
16626,EPSRC,University of Sussex,Sch of Life Sciences,Research Grant,01/05/2018,30/04/2021,363386.0,,South East
16627,BBSRC,University of Bristol,Research and Enterprise Development,Research Grant,01/11/2018,31/03/2021,251000.0,,South West
16628,BBSRC,Royal Veterinary College,Comparative Biomedical Sciences CBS,Research Grant,01/10/2017,30/09/2020,315078.0,,London
16629,STFC,University of Warwick,Physics,Research Grant,01/06/2014,31/12/2018,51324.0,,West Midlands
16630,EPSRC,University of St Andrews,Chemistry,Studentship,27/08/2017,31/03/2021,0.0,,Scotland
16631,NERC,University of Oxford,Geography - SoGE,Research Grant,01/12/2016,30/11/2019,650394.0,,South East
16632,EPSRC,University of Bath,Mathematical Sciences,Studentship,01/10/2017,14/10/2021,0.0,,South West
16633,EPSRC,University of Birmingham,Personnel Services,Training Grant,01/10/2015,30/09/2019,1993981.0,,West Midlands
16634,BBSRC,University of Aberdeen,Biomedical Sciences,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
16635,STFC,University of Nottingham,Sch of Physics & Astronomy,Research Grant,01/10/2017,30/09/2020,887292.0,,East Midlands
16636,Innovate UK,Amey Owr Limited,,Collaborative R&D,01/11/2017,31/08/2019,644847.0,,Unknown
16637,MRC,University of Leeds,School of Medicine,Fellowship,01/06/2016,31/05/2019,240380.0,,Yorkshire and The Humber
16638,EPSRC,University of Manchester,Computer Science,Studentship,02/09/2017,30/09/2021,0.0,,North West
16639,STFC,University College London,Physics and Astronomy,Studentship,01/10/2016,30/09/2019,0.0,,London
16640,Innovate UK,QinetiQ Limited,,Collaborative R&D,01/01/2018,31/12/2019,948776.0,,South East
16641,BBSRC,University of Nottingham,Sch of Pharmacy,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
16642,MRC,University of Leicester,,Intramural,01/03/2018,29/02/2020,,767000.0,East Midlands
16643,BBSRC,University of Nottingham,Sch of Biosciences,Studentship,01/10/2018,30/09/2022,0.0,,East Midlands
16644,AHRC,King's College London,Culture Media and Creative Industries,Research Grant,14/07/2017,07/09/2018,76350.0,,London
16645,BBSRC,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Research Grant,03/11/2016,02/11/2019,681065.0,,Scotland
16646,EPSRC,Imperial College London,Dept of Physics,Studentship,01/10/2018,30/09/2022,0.0,,London
16647,STFC,Imperial College London,Dept of Physics,Research Grant,01/01/2018,31/12/2020,31904.0,,London
16648,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Training Grant,01/04/2014,30/09/2022,3567264.0,,East Midlands
16649,Innovate UK,Transport Systems Catapult,,Centres,01/01/2015,31/03/2019,55735500.0,,South East
16650,STFC,University of Kent,Sch of Physical Sciences,Studentship,16/09/2017,30/09/2021,0.0,,South East
16651,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2016,30/09/2020,0.0,,South East
16652,MRC,University of Manchester,School of Health Sciences,Studentship,01/10/2016,31/03/2020,0.0,,North West
16653,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Research Grant,01/07/2015,31/05/2019,1581409.0,,South East
16654,Innovate UK,Lleo Limited,,Feasibility Studies,01/08/2018,30/06/2019,68501.0,,Unknown
16655,STFC,University of Leeds,Physics and Astronomy,Training Grant,01/04/2018,31/03/2022,74539.0,,Yorkshire and The Humber
16656,BBSRC,University of Birmingham,School of Psychology,Research Grant,01/01/2018,31/12/2020,799581.0,,West Midlands
16657,Innovate UK,Pvoh Polymers Limited,,CRD,01/12/2018,31/01/2020,237643.0,,South West
16658,MRC,University of Cambridge,Veterinary Medicine,Research Grant,01/12/2015,31/01/2020,1598827.0,,East of England
16659,MRC,King's College London,,Intramural,31/03/2018,31/03/2020,,1497000.0,London
16660,EPSRC,University of Oxford,Oxford Physics,Studentship,01/10/2016,30/09/2019,0.0,,South East
16661,Innovate UK,Senceive Limited,,Collaborative R&D,01/07/2018,30/09/2019,125563.0,,London
16662,ESRC,University of Bristol,Sch for Policy Studies,Studentship,01/10/2018,01/10/2022,0.0,,South West
16663,AHRC,Royal College of Art,School of Art and Humanities,Studentship,01/10/2017,30/09/2020,0.0,,London
16664,NC3Rs,University of Manchester,School of Biological Sciences,Research Grant,01/08/2018,31/07/2021,494135.0,,North West
16665,BBSRC,University of Cambridge,Psychology,Studentship,01/10/2018,30/09/2022,0.0,,East of England
16666,MRC,University of Oxford,Wellcome Trust Centre for Human Genetics,Research Grant,01/09/2016,31/08/2019,705196.0,,South East
16667,NERC,"Royal Holloway, University of London",Earth Sciences,Research Grant,01/10/2015,30/09/2019,351856.0,,South East
16668,NERC,University of Bristol,Earth Sciences,Research Grant,01/09/2018,31/08/2022,127196.0,,South West
16669,Innovate UK,University of Teesside,,Knowledge Transfer Partnership,01/11/2017,31/10/2019,91317.0,,North East
16670,AHRC,University of Edinburgh,Sch of Geosciences,Research Grant,01/04/2017,30/09/2018,35345.0,,Scotland
16671,NERC,University of Exeter,Biosciences,Studentship,01/10/2017,30/09/2021,0.0,,South West
16672,EPSRC,University of Cambridge,Pure Maths and Mathematical Statistics,Fellowship,01/09/2016,31/08/2021,1006061.0,,East of England
16673,BBSRC,University of Nottingham,School of Life Sciences,Studentship,01/10/2017,30/09/2021,0.0,,East Midlands
16674,STFC,University of Manchester,Physics and Astronomy,Studentship,17/09/2017,31/03/2021,0.0,,North West
16675,EPSRC,University of Warwick,Sch of Engineering,Studentship,02/10/2017,31/03/2021,0.0,,West Midlands
16676,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/10/2016,30/09/2020,0.0,,Scotland
16677,STFC,University of Cambridge,Institute of Astronomy,Studentship,01/10/2017,31/03/2021,0.0,,East of England
16678,AHRC,University of Oxford,Music Faculty,Research Grant,01/04/2016,31/03/2021,794493.0,,South East
16679,EPSRC,University of Bristol,Mathematics,Studentship,18/09/2017,31/03/2021,0.0,,South West
16680,MRC,London Sch of Hygiene and Trop Medicine,Public Health and Policy,Research Grant,01/10/2018,30/09/2021,357774.0,,London
16681,BBSRC,University of Leicester,"Neuroscience, Psychology and Behaviour",Studentship,02/10/2017,30/09/2021,0.0,,East Midlands
16682,NERC,NERC Centre for Ecology and Hydrology,Hydro-climate Risks,Research Grant,01/05/2016,31/10/2020,416569.0,,South East
16683,EPSRC,Queen's University of Belfast,Electronics Electrical Eng and Comp Sci,Research Grant,01/04/2015,31/03/2020,5032504.0,,Northern Ireland
16684,AHRC,University of Leeds,Sch of Geography,Research Grant,01/01/2018,30/04/2019,179757.0,,Yorkshire and The Humber
16685,MRC,"Queen Mary, University of London",Barts Cancer Institute,Studentship,26/09/2016,30/09/2020,0.0,,London
16686,EPSRC,Durham University,Chemistry,Studentship,01/10/2018,30/09/2021,0.0,,North East
16687,BBSRC,University of Oxford,Oxford Chemistry,Training Grant,01/10/2018,30/09/2022,99034.0,,South East
16688,MRC,University of Birmingham,Sch of Biosciences,Research Grant,15/01/2016,14/01/2019,326749.0,,West Midlands
16689,STFC,Lancaster University,Physics,Training Grant,01/10/2017,30/09/2021,318656.0,,North West
16690,BBSRC,University of Exeter,Biosciences,Research Grant,01/06/2017,30/11/2021,30612.0,,South West
16691,ESRC,University of Warwick,Warwick Business School,Studentship,02/10/2017,30/09/2021,0.0,,West Midlands
16692,EPSRC,University of Southampton,Sch of of Electronics and Computer Sci,Training Grant,01/10/2014,31/03/2023,3618520.0,,South East
16693,MRC,University of Birmingham,Sch of Biosciences,Studentship,01/10/2017,31/03/2021,0.0,,West Midlands
16694,AHRC,Goldsmiths College,Computing Department,Research Grant,01/05/2018,30/04/2021,806693.0,,London
16695,EPSRC,University of Exeter,Engineering Computer Science and Maths,Training Grant,01/04/2014,30/09/2022,5294941.0,,South West
16696,ESRC,University of Leeds,Sch of Geography,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
16697,EPSRC,University of Southampton,Sch of Health Sciences,Research Grant,01/07/2016,30/06/2019,502895.0,,South East
16698,STFC,University of Liverpool,Physics,Studentship,01/10/2018,31/03/2022,0.0,,North West
16699,ESRC,University College London,Anthropology,Studentship,25/09/2017,30/09/2020,0.0,,London
16700,Innovate UK,Loughborough University,,Knowledge Transfer Partnership,01/01/2018,30/06/2019,81300.0,,East Midlands
16701,AHRC,University of Bradford,School of Engineering and Informatics,Research Grant,01/01/2018,28/06/2019,79888.0,,Yorkshire and The Humber
16702,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2017,30/09/2020,0.0,,East Midlands
16703,MRC,University of Dundee,School of Life Sciences,Studentship,03/09/2018,28/02/2022,0.0,,Scotland
16704,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/09/2016,29/02/2020,0.0,,Scotland
16705,BBSRC,University of Cambridge,Biochemistry,Research Grant,01/06/2018,31/05/2021,433770.0,,East of England
16706,EPSRC,University of Nottingham,Faculty of Engineering,Studentship,01/12/2016,30/11/2019,0.0,,East Midlands
16707,MRC,King's College London,Child and Adolescent Psychiatry,Research Grant,01/03/2017,12/08/2018,313804.0,,London
16708,MRC,University of Birmingham,Inst of Metabolism & Systems Research,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
16709,MRC,Queen's University of Belfast,Centre for Public Health,Research Grant,01/10/2016,31/03/2019,146320.0,,Northern Ireland
16710,BBSRC,University of Nottingham,Sch of Biosciences,Training Grant,01/10/2018,30/09/2022,99034.0,,East Midlands
16711,BBSRC,University of Edinburgh,Sch of Biological Sciences,Studentship,01/10/2018,30/09/2022,0.0,,Scotland
16712,EPSRC,University of Sheffield,Physics and Astronomy,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
16713,EPSRC,University of Oxford,Oxford Chemistry,Research Grant,01/01/2017,31/12/2018,19612.0,,South East
16714,MRC,Institute of Cancer Research,Division of Cancer Therapeutics,Fellowship,01/04/2016,31/03/2019,323689.0,,London
16715,BBSRC,SRUC,Research,Research Grant,01/12/2015,30/04/2019,335554.0,,Scotland
16716,STFC,University of Sussex,Sch of Mathematical & Physical Sciences,Studentship,20/09/2018,31/03/2022,0.0,,South East
16717,EPSRC,University of York,Physics,Studentship,01/10/2018,30/09/2021,0.0,,Yorkshire and The Humber
16718,ESRC,University of Oxford,Education,Research Grant,15/01/2017,31/03/2019,326036.0,,South East
